chromosome	position 1	position 2	2.R2	1.R1	2.R1	1.R2	3.R2	3.R1	1.R3
Y	13152	15344	385	1447	782	471	788	1236	479
X	9042	11782	640	629			989	1047	1162
Y	21235	19180	379	1332	709	444	768	1219	632
Z	3836	20413				742			264
Z	6576	22742				708			208
W	3014	6302	328	665		368	667	586	558
Y	3288	16303	227	715	390	237	461	776	273
Z	9727	25619				1000			346
Y	9590	14111	353	1345	644	488	655	1233	381
Z	2192	7535				1587			540
W	822	2192	466	865		452	725	821	734
Y	20276	15481	391	1630	786	618	882	1572	529
W	9316	9453	569	852		511	983	978	842
Z	10823	26304				703			208
Z	21372	24934				1059			354
Z	6028	23838				475			217
Z	11919	12604				1398			499
W	6713	8768	425	816		408	650	798	744
W	4795	9727	328	959		459	448	590	736
X	548	5617	530	614			1069	945	1084
Y	4384	15892	154	643	391	230	391	703	213
X	2055	8768	445	411			645	723	840
Z	6576	26989				632			152
Z	21372	22331				1212			459
Z	9727	17673				1292			474
Z	8631	16988				1225			462
Y	11234	14111	372	1270	616	426	678	1293	485
Z	4110	22057				668			209
X	5891	13700	694	673			1163	1197	1362
Y	1370	18084	91	530	200	127	223	298	126
X	6165	8220	800	972			1308	1930	1814
Y	14248	17399	283	1255	540	467	763	1030	354
X	4521	4932	913	1124			1611	1551	1910
Y	1507	16440	132	855	366	209	410	661	247
Z	14933	20550				1290			444
Z	13563	15481				1711			492
X	9864	12330	502	757				1074	1241
X	15755	15892	616	773			1236	1193	1489
Z	8083	20276				543			199
Z	15344	16714				2188			635
Z	22331	22742				1451			447
Z	4658	20824				720			244
Y	2877	7809	370	1484	780	413	758	1267	416
Z	16988	25893				1118			356
Y	16714	14933	315	1633	756	588	678	1174	577
Y	4795	5206	421	1745	970	546	875	1725	537
X	7809	13837	574	650			823	1035	1362
W	3288	8494	272	456		296	362	340	378
W	2740	10823	235	388		195	373	354	324
W	2740	9590	283	563		296	404	425	440
Y	13563	14522	449	1666	850	597	1109	1583	641
Z	11782	23016				929			356
Z	10412	21509				1025			292
Y	9453	13700	370	1204	849	495	689	1276	390
Z	137	6850				1249			489
Z	4110	6850				1365			450
Y	10001	18221	252	855	507	294	479	1017	316
X	12741	16166	532	583			884	897	1205
W	137	2466	412	752		392	672	672	719
Z	13289	15207				1365			531
Z	3973	5754				1461			543
Z	8905	13563				1434			456
X	2466	4384	629	835			1073	1076	1379
Y	12878	19043	274	1301	579	491	713	1246	433
Z	822	6713				1517			425
Z	685	11508				814			333
Z	10549	11097				1567			656
X	1096	5754	725	737			936	935	1142
Z	9042	16988				1181			408
Y	3425	15618	158	868	286	236	356	607	306
X	6439	15344	496	444			659	629	1036
Z	685	1781				2065			600
Y	17399	14659	328	1558	571	584	607	1010	456
X	11782	14659	535	1059			1273	1260	1273
W	5069	5069	590	1001		655	749	1112	1094
X	9864	13289	651	998			1466	1292	1408
Z	2055	9590				1092			418
W	2466	8905	188	321		214	365	270	273
Z	15618	20139				1074			381
Y	5206	19043	197	928	504	309	436	854	263
Z	6302	22742				655			245
Y	8494	13974	295	1283	698	478	832	1403	503
Y	11371	15892	358	1295	609	580	971	1232	548
Y	274	18358	135	612	273	198	144	317	162
W	1781	9727	211	393		197	362	484	465
Z	14111	16029				1716			501
Z	25071	26441				1601			419
Z	1507	9453				1069			400
Z	8357	16303				1375			490
Z	4795	25756				927			209
Y	2466	12330	309	1110	553	327	628	870	437
Y	3014	16303	204	786	332	275	429	790	285
Y	4247	15207	187	708	343	254	519	733	276
Z	4658	26441				339			108
X	8357	14933	413	454			632	809	903
Y	9590	17673	230	789	459	333	559	898	300
Z	2055	17262				814			266
Z	7809	20139				604			195
Z	2466	9590				1141			398
X	137	12330	324	446				679	656
Z	685	21098				350			119
Y	685	10138	219	896	426	328	543	789	340
W	3973	5206	533	1104		440	857	809	762
Y	7535	12741	517	1388	786	481	760	1180	555
Z	2055	23564				726			208
Y	2466	18906	106	430	157	148	162	345	115
Z	7672	8494				1427			570
Y	8631	20824	230	1107	585	509	681	1244	355
Z	7809	20961				585			217
W	2877	3562	458	784		410	670	846	664
Z	4795	18495				925			289
Y	13152	17125	303	1163	414	415	722	829	493
Z	10275	16851				1049			379
Z	6165	8220				1121			407
Y	18495	17947	371	1273	606	441	736	1382	459
Z	1233	9590				1111			371
Z	13837	23701				937			324
X	3836	12604	384	491			647	813	800
Y	1233	8494	275	1244	516	319	606	1050	399
Z	13700	25345				1203			400
W	1781	7261	320	630		341	541	466	624
Y	18632	17810	290	1411	792	518	808	1355	479
X	4521	11371	583	878			1115	1038	1397
Y	9453	12193	403	1818	967	552	1025	1357	598
Y	7809	11097	493	1689	799	568	771	1481	476
Y	7398	10138	469	1783	833	877	1197	1861	740
Z	3562	6165				1815			474
Z	15892	25345				1199			338
Z	9042	14385				1579			583
Z	2055	22879				504			159
Y	7535	12193	457	1612	975	673	1169	1805	558
Z	685	19317				372			112
Z	4521	9590				1324			459
Z	14796	20550				1396			394
Y	8631	11234	454	1822	857	665	813	1745	795
Y	137	17399	66	311	188	107	300	471	126
Y	0	21646		219	106	55	65	191	79
Y	4247	12741	218	1181	408	359	760	1065	391
Y	7124	17947	203	856	436	257	473	897	282
Z	6302	16303				1053			467
X	137	548	665	749			1031	1428	1291
Y	3836	8768	284	1476	682	417	687	1033	457
Z	3699	13837				1335			471
Y	7398	9316	483	2016	1163	824	1222	1708	761
X	5480	10412	627	792			1339	1323	1276
Z	14522	20413				1353			450
W	7809	10412	500	812		532	693	820	902
Z	6165	7261				1270			375
W	2055	10549	253	388		214	416	318	340
Z	13426	26441				859			257
W	822	9179	181	344		204	425	282	363
Z	8631	20550				834			277
Y	6987	16440	338	1033	623	498	682	1157	418
Y	137	19454	130	560	306	191	226	237	160
Y	9727	19591	255	952	510	420	489	1053	298
Y	10686	14248	382	1231	617	454	938	1222	500
Z	137	23153				349			193
W	0	2192	383	736		445	601	737	726
Y	411	17399	81	332	152	155	250	501	146
Z	10412	24386				786			320
Z	411	4795				1313			441
W	4110	8631	344	992		492	639	621	651
Z	4521	20961				826			282
Y	4384	9179	329	1325	538	502	623	955	408
W	4384	7124	490	898		469	721	708	708
Y	6713	18495	245	679	391	263	419	771	244
Z	19591	21235				1164			438
Z	15755	26167				1165			389
Z	18495	22605				1524			448
Y	5206	10686	284	1370	524	437	727	1362	385
Z	3699	24660				352			156
Y	3973	14659	227	801	446	331	566	1043	320
Z	548	14248				787			249
Z	6028	6165				1735			563
X	3288	12056	377	610			574	525	543
Z	9727	10138				1771			737
Y	2055	16303	183	779	299	260	460	636	254
Y	2192	12604	257	805	438	276	450	745	322
Y	8220	9864	447	1797	805	524	784	1281	579
Z	5754	24112				516			197
X	2877	11919	351	373			453	513	577
Z	12056	23016				868			322
X	1644	14385	333	180			292	471	414
Z	4521	16029				957			326
W	6576	10138	574	856		507	994	889	936
Z	16714	21098				1112			347
Y	4932	7535	377	1565	677	547	827	1211	496
X	4110	12878	517	555			943	926	1060
Y	12741	12878	420	1670	1024	637	1144	1995	761
Z	20824	26304				1040			336
Y	2740	5069	304	1099	627	401	733	1049	546
Y	12193	13015	473	1564	816	513	773	1505	595
Z	4247	22468				786			219
Z	8083	12056				1295			472
X	9727	10686	817	894			1143	1576	1215
Y	11371	19865		1114	544	390	566	1120	349
Y	4658	10823	310	1286	553	383	704	1125	368
W	4658	6165	606	876		610	1090	1094	917
X	4384	13152	552	599			880	857	1017
Z	411	8768				1134			336
Y	4521	7261	395	1628	596	550	954	1479	422
Z	1096	5069				1511			525
Z	15070	16851				1883			545
Z	6165	15755				908			341
Y	4932	6439	428	1504	710	624	920	1684	586
X	1918	10686	323	525			823	1085	1018
Y	8083	8494	456	2068	1054	750	1159	1645	617
Z	20002	22605				1204			411
X	9316	16303	308	361				554	694
W	3836	5754	529	1093		663	1065	941	845
Z	15207	25482				1296			318
Z	1781	7124				1858			578
X	7535	7946	625	863			1095	1297	1290
Z	3151	15618				1134			394
Z	2603	10412				1156			432
Z	23016	25893				1390			327
Y	15481	15344	461	1914	1049	698	1170	1442	684
Y	7124	11919	443	1940	886	712	949	1675	617
Y	12330	12330	483	1650	1037	772	1108	1598	778
W	2740	4247	459	840		437	685	749	661
X	2055	12878	199	309			491	532	604
W	3699	8494	433	842		412	583	691	610
Y	1781	18084	86	390	271	130	230	382	200
Z	274	24523				584			172
Y	3699	19454	204	698	424	322	401	774	305
Z	3425	24112				491			179
Y	5891	17536	259	873	373	327	413	912	311
Z	22194	25756				1394			499
Z	8494	20824				594			204
Z	12330	13015				1186			407
Y	685	3425	356	1477	757	484	715	1487	519
X	6302	15207	437	470			717	709	858
X	3562	5617	892	1189			1996	1708	1767
W	7809	7809	497	972		454	676	870	865
Z	11097	11371				1760			601
Z	11097	11508				1798			679
Z	3836	10823				1707			547
Y	3562	13974	209	983	557	391	538	976	428
Z	411	19043				729			132
Z	10412	17262				1399			453
W	7809	10001	541	883		438	850	983	881
Y	1918	8357	292	1208	737	335	601	1194	403
Y	21646	17673	279	1118	642	376	540	1047	390
Z	10549	15481				1136			574
Z	13837	19317				1119			341
Z	7946	20002				880			220
Z	7398	25345				465			151
W	2055	6713	387	659		357	674	761	673
Z	6302	21509				829			225
Y	12193	20824	411	1379	665	436	701	1332	520
Z	1781	10138				1158			403
Y	13700	15344	332	1462	817	691	714	1588	537
Z	2329	18906				682			188
Z	2466	26989				517			143
Z	959	6987				1647			515
Y	6576	18906	185	751	371	310	487	643	224
Z	5343	5754				1616			672
Z	16988	22468				1157			455
X	5206	6850	901	1060			1348	1476	1819
Z	11508	13152				1664			548
X	4384	11508	497	761			1089	1048	1074
Z	137	11371				920			235
Z	7535	19317				585			239
Y	9727	20687	362	1473	593	503	750	1495	419
Y	6028	20687	190	590	464	257	372	705	230
Y	11782	15207	424	1687	958	579	900	1541	535
Z	12604	20824				930			258
X	1096	14522	234	372			377	452	574
Y	4384	10549	292	1067	517	350	578	905	373
X	5206	8768	715	907			1320	1524	1449
Y	5069	9179	309	1542	650	515	593	1164	482
Y	20550	16440	371	1539	695	652	845	1266	613
Y	2603	20550	191	667	395	313	388	530	245
Z	4384	14248				1107			538
X	3562	8905	552	687			1117	1243	1218
Z	10823	11508				1641			556
Y	548	16988	113	422	144	128	260	432	135
Y	13700	13700	489	2137	923	708	1020	1892	665
Z	16166	22879				1194			399
Z	12330	24523				1138			362
X	15070	15481	556	823			1617	1353	1676
Y	11097	20961	367	1372	570	456	767	1286	496
Y	5206	19865		879	392	306	438	788	334
Y	6165	15481	238	1290	575	357	642	1186	328
Y	3151	13289	207	899	397	263	438	646	273
Z	14522	21235				1233			463
Z	3973	16851				838			332
Y	4521	10549	262	923	567	435	613	1084	434
X	4932	9453	636	917			1027	1090	1404
Z	13152	21646				1109			403
X	9316	13152	514	622			951	1006	1278
Y	4247	13837	281	1209	598	359	578	1176	429
Z	14659	27126				793			239
Y	0	17810		554	203	141	211	401	149
Y	11782	20002	320	1076	713	426	667	1160	389
Y	1644	5206	322	1006	575	440	659	1327	352
Z	11371	18358				1228			451
Y	12193	20687	317	1493	853	601	770	1563	465
X	3014	15344	149	189			266	362	327
X	10960	15481	622	717			1158	1099	1437
Z	6165	21372				882			240
Y	9727	11645	417	1841	897	604	1058	1765	802
Z	0	4795				1213			458
Y	1644	18906	89	351	152	87	146	323	104
Y	1370	12193	214	962	507	406	517	969	306
Y	6713	14796	384	1438	634	542	741	966	504
Z	2877	18084				766			339
Y	3288	17810	112	459	255	169	282	481	181
Z	17262	24249				1370			417
Z	3151	18221				882			328
Z	137	23427				553			160
X	5069	6028	1142	1248			1922	1726	1978
Z	9590	20824				897			344
Y	2329	13426	184	911	385	225	456	791	256
Z	7124	20550				711			209
Z	9316	26989				518			182
Z	3151	16714				920			347
W	8905	9316	501	826		487	719	739	746
Z	16303	26715				1201			413
Z	17810	20550				1522			421
Z	5891	19591				749			340
W	274	9727	182	350		244	286	482	371
X	5754	6302	1299	1287			2300	2502	2438
Z	1233	12604				1203			471
W	274	959	515	858		581	864	862	780
W	2740	4384	500	810		415	865	854	752
Z	7124	15344				1507			417
X	13015	14522	692	826			1269	1413	1555
Z	21646	21920				1259			458
Z	1507	23016				516			174
W	5617	10686	458	828		347	522	540	592
Z	14796	18906				1245			458
Y	8357	17399	198	841	379	360	592	899	312
Z	6439	18221				962			276
Z	10549	21509				986			389
Y	3288	4658	282	1199	666	453	855	1236	419
Y	3562	5343	407	1826	725	507	916	1563	479
Z	15207	20002				1032			369
Y	1507	10412	310	1056	527	410	566	1179	307
X	6713	7809	746	960			1677	1799	1599
Z	17399	18769				1270			392
Y	20002	14933	359	1584	714	501	954	1413	533
Z	11371	12193				1805			501
Z	1370	13015				1006			364
X	2055	15755	97	279			238	251	352
Y	9179	10275	447	2001	993	670	1163	2160	653
Y	1096	11371	202	645	385	259	445	896	304
Z	959	15618				1478			444
Z	3562	18221				977			348
X	2055	3562	608	721			1123	1093	1335
X	274	822	645	956		526	1125	1102	1470
X	4932	5343	1168	1168			1876	2076	2130
Z	11234	27263				568			214
Z	3562	7261				1335			481
X	685	5480	526	743			1026	901	1222
Z	9179	27263				526			138
Z	15755	19591				1422			431
Z	25071	26715				1711			517
Z	23701	26167				1294			433
Z	5617	21783				824			284
W	1644	5891	250	648		273	504	481	475
Z	12878	15892				1571			478
Y	548	6576	289	1324	615	434	758	1406	427
Y	1096	17262	102	371	168	124	172	299	187
Z	4384	6302				1630			537
X	8905	12878	506	600			865	970	932
X	11782	15207	550	877			975	1309	1375
Z	2192	2877				2110			601
Z	9453	22879				1154			297
X	5343	11782	579	634			891	955	1031
Z	4110	17947				1075			363
Z	13563	25071				836			305
Y	21509	16577	312	1153	654	425	713		516
Z	4795	7809				1378			433
Y	18769	18495	332	1489	710	522	878	1371	528
Z	2740	8083				1530			494
W	10412	10823	603	1199		714	954	1123	994
Z	1370	23290				599			281
X	10686	13837	657	852			1268	1173	1400
Y	3562	13152	248	1060	576	368	609	874	335
Z	10960	13563				1352			580
Y	3014	16166	148	917	388	267	469	713	277
Z	12330	24660				906			339
Z	10138	13289				1337			460
Z	17536	18495				1147			498
Z	21235	22194				1462			388
Z	9727	25208				622			294
Z	1644	17536				826			285
Y	5480	13700	331	1130	750	437	707	1533	417
Y	137	18221	136	451	348	156	141	328	265
Y	7672	13426	311	1549	747	486	699	1355	523
Z	7946	27263				877			264
Y	6576	17536	225	994	428	345	452	731	273
Z	12056	19591				850			415
Y	14111	19317	333	1451	748	476	859	1332	710
Z	0	8494				1166			393
Z	3836	10549				2009			574
W	5617	6439	699	1421		653	1053	975	1104
Z	274	20002				357			128
X	274	15344	226	202			418	353	410
Y	3699	15892	127	609	368	252	294	711	237
Z	9453	14385				1570			588
Y	2740	19317	84	457	231	125	247	362	137
Y	9042	14111	303	1595	857	558	674	1277	456
Z	2192	15481				1501			388
Z	12878	13837				1542			501
Z	13563	16851				1330			505
Z	14111	23701				904			288
X	1918	14111	278	223			330	455	442
Z	24660	26852				1545			517
X	6987	14111	448	565			638	794	787
Z	2466	10275				1297			425
Y	8220	16440	231	763	601	485	586	810	354
Y	6302	8905	472	1952	1120	678	954	1925	789
Z	7124	24797				855			329
Y	2740	16303	233	785	390	264	398	722	193
Z	4795	9453				1628			516
X	5754	9453	902	1082			1408	1350	1740
X	7398	16303	396	500				587	818
Z	17399	24660				1134			432
X	2192	12330	321	406				476	686
Y	9727	20002	249	1221	422	422	541	893	316
W	1781	10412	221	385		272	410	377	405
Y	10412	11371	424	1848	809	607	919	1717	693
Z	5754	13289				1293			394
Y	6439	7809	540	2002	1016	742	907	1847	734
W	4932	5069	546	1077		649	816	897	1042
Z	19865	20961				1111			444
Y	2603	7809	385	1527	806	438	676	1263	448
Y	6987	7261	788	2498	1373	802	1393	2057	879
Z	1918	6302				1304			432
X	8631	12193	547	761			1013	964	985
W	3973	7124	431	752		516	812	659	603
X	13152	13837	579	855			1130	1036	1347
Z	10823	17673				1405			471
Z	1233	4521				1663			421
Z	14659	14933				2075			614
Y	10412	13426	356	1587	704	377	800	1150	476
Z	10412	26578				587			203
Z	15618	26989				1136			619
W	3425	5206	462	704		483	898	812	705
Z	20961	26989				963			319
Y	0	685		1445	924	615	869	1325	592
Z	2603	22879				443			142
Z	18906	21372				914			355
Y	4521	6302	379	1834	849	548	762	1572	575
Y	2740	17673	103	437	227	151	240	377	160
Z	18084	22468				1275			463
Y	11919	19865		1120	490	494	623	1164	450
Z	137	16166				978			407
Y	0	5480		1446	675	455	830	1090	475
W	1096	6713	392	653		385	489	626	531
Y	2192	6987	419	1840	942	612	926	1708	636
Z	10412	24934				669			298
X	137	11097	348	543			730	751	738
Y	12330	16988	279	1381	590	471	721	1088	517
Z	10275	22194				1161			465
Z	21098	24249				1211			352
Y	2877	7672	374	1649	776	541	770	1422	500
W	5617	8083	426	672		539	741	865	823
Z	19043	20550				942			411
W	4384	4521	658	1231		698	977	1263	1073
Z	12878	23838				1085			347
Y	6439	10686	457	1830	878	640	1025	1896	558
Z	15755	25619				1017			353
Z	18221	18769				1391			501
W	3288	6302	358	1002		406	735	740	939
Y	6713	17399	240	947	470	279	538	971	348
X	9864	14796	521	575			672	915	1309
W	0	548	551	1064		592	793	938	945
Y	20687	20276	473	2182	1058	825	1340	1772	790
Z	7809	14933				1074			409
Z	2740	25619				362			127
Z	17810	24934				847			466
Z	411	24660				743			196
Y	7261	17262	276	1123	553	401	595	803	373
Z	959	7946				1465			432
Y	0	4384		1255	666	506	615	1391	484
Z	4247	10549				1336			535
Z	7535	23016				811			260
Z	1096	6028				1334			442
W	1781	4658	413	842		486	529	567	658
Z	6850	19180				676			237
X	9864	11508	669	736			1140	1118	1611
Z	12741	20961				1083			283
Y	9864	11097	447	2177	883	593	912	1767	648
Z	3288	20687				621			292
X	4932	8220	595	812			1197	1282	1370
X	13289	13563	870	988		580	1286	1555	1869
Y	6987	12604	468	1329	835	510	847	1636	573
Y	7261	18906	193	800	427	321	537	771	442
Z	4247	16440				884			274
X	548	6850	590	645			942	860	1390
Z	12604	12741				1470			469
Z	13837	20276				1065			413
Z	23564	24112				1720			499
Z	21372	26167				978			307
Z	13289	18632				1393			480
Y	4795	16303	157	535	259	256	372	526	217
Y	10412	11097	442	1794	958	645	912	1421	681
Y	20276	14659	374	1982	764	589	662	1143	483
Z	23427	25208				1662			525
X	6987	14659	578	737			924	865	1222
X	6439	6713	876	1144		669	2119	2182	2168
Z	18495	22331				1204			420
Z	8220	15755				1485			615
Y	18632	15618	330	1087	656	456	582	1194	570
Z	5480	20824				1130			257
W	3425	10549	273	486		218	500	412	336
Y	13700	17399	268	1224	517	340	726	1256	399
Y	10960	20961	335	1115	662	430	689	1201	477
Z	0	6028				964			349
Z	2877	17536				1028			288
X	3425	10138	609	747			968	1132	1227
Z	16440	18769				1410			430
Y	2466	15481	204	927	570	381	495	845	278
Z	14248	22468				1035			449
Y	10412	13563	388	1248	675	480	671	1389	422
X	8631	15618	443	405			540	616	804
Y	10823	19728	246	1081	480	346	709	1080	344
Y	6713	10549	462	2157	879	732	935	1932	496
X	2877	4932	574	935			1206	1201	1761
X	9179	15755	358	453			710	572	747
Y	20550	14796	440	1682	802	577	636	1208	487
Z	4521	12604				1131			352
Z	13563	25345				1215			284
Z	1918	18221				608			198
X	4795	10412	757	690			1077	960	1273
Z	6028	13289				1286			539
W	6028	6028	625	1272		758	1196	1008	1042
X	14111	16166	546	548			897	999	1044
Z	1644	2740				2041			720
X	4521	5069	765	1197			1766	1379	1652
Y	5617	15207	234	1147	440	331	702	782	283
Z	3425	16166				964			456
W	1644	7535	283	519		304	496	400	462
Z	7946	9590				1232			463
Z	3973	15070				1485			459
Z	13837	21646				1135			425
Y	9453	17399	328	999	595	361	579	968	368
Z	3562	12193				1216			410
X	9727	10823	775	829			1179	1543	1431
Z	15892	24112				1941			685
Z	6165	22468				667			208
W	2603	5343	419	740		441	781	874	690
Y	13700	21646	305	1127	479	411	582	1012	314
Y	2740	10001	346	1207	674	415	744	1214	399
Z	4110	26441				306			145
Y	822	19180	135	529	379	190	264	597	153
X	3151	11097	528	491			680	599	841
Z	16166	26852				1555			456
Y	9727	11234	455	1868	816	568	995	1615	723
Y	5617	12193	269	1339	716	406	642	1149	414
Z	3425	4932				1980			492
Y	1233	17673	154	517	252	181	321	453	159
Y	4247	14796	254	838	413	268	511	1170	242
Z	4658	10001				1461			489
Z	21235	25345				1115			441
Z	3973	4384				1799			722
Z	3014	13974				1238			381
X	6576	7124	854	949			1862	1877	1697
